record_id,source,language,brand,star_rating,text,your_label,production_label,lexicon_label,xlmr_label,vader_or_bn_label,failure_mode,why_suspect
220670755ae5dc742a89ad90f6daf847664626d5941e292897b0df74337b6889,facebook,mixed,brac_bank,,"১৫ লাখ fdr করব ।
কোন ব্যাংকে সব মিলিয়ে ভালো হবে ?",,positive,positive,neutral,neutral,substring_false_positive_in_query,"substring_false_positive_in_query | lex_hits=[ভালো] | flags=[query_or_advice_seeking,advice_recommendation,lexicon_pos_in_question,short_lexicon_positive] | prod=positive xlmr=neutral ext=neutral"
317f2285061aaee3a80cb349172079b888277a56ac08288fec12d13e034796af,facebook,mixed,brac_bank,,"student account এর জন্য কোনটা ভালো?? 
(১)brac
(2)prime",,positive,positive,neutral,neutral,substring_false_positive_in_query,"substring_false_positive_in_query | lex_hits=[ভালো] | flags=[lexicon_pos_in_question,short_lexicon_positive] | prod=positive xlmr=neutral ext=neutral"
86af1f7b903098ced28c266280f6a4bbc6ebd74dccb2cd2439b93f38898468ae,facebook,mixed,brac_bank,,"4লাখ টাকা আছে হাতে।
কি করবো FDR নাকি সঞ্চয়পএ। কোনটা ভালো হবে।
আর Motijheel থাকি তাই, কোন ব্যাংক ভালো হবে জানাবেন।",,positive,positive,neutral,neutral,substring_false_positive_in_query,"substring_false_positive_in_query | lex_hits=[ভালো] | flags=[query_or_advice_seeking,advice_recommendation,lexicon_pos_in_question] | prod=positive xlmr=neutral ext=neutral"
00a8681ee98c4b81f84b8bdd712e3a192e03ce65785a3aa098fb7836f85d0428,facebook,mixed,brac_bank,,"আমার BRAC Bank-এ একটি Savings Account আছে। অ্যাকাউন্টে গড়ে মাসে প্রায় ৳৫০,০০০ ট্রানজেকশন হয়। তবে আমার বর্তমানে কোনো Salary, Business Income বা FDR নেই।
আমি শিগগিরই বিদেশে (চীন) পড়তে যাচ্ছি, তাই ভবিষ্যতে আন্তর্জাতিক ব্যবহার ও Airport Lounge সুবিধার জন্য একটি Credit Card নিতে আগ্রহী।
আমার প্রশ্ন:
আমার এই প্রোফাইলে কি কোনো Credit Card পাওয়ার সম্ভাবনা আছে?
BRAC Bank কি আয় ছাড়া শুধুমাত্র ব্যাংকিং হিস্ট্রি দেখে কার্ড দেয়?
কারও কি এমন অভিজ্ঞতা আছে?
যদি BRAC থেকে না হয়, তাহলে কোন ব্যাংকে চেষ্টা করলে ভালো হতে পারে?
যারা বাস্তব অভিজ্ঞতা থেকে জানেন, দয়া করে পরামর্শ দিলে উপকৃত হব। ধন্যবাদ।
আমার BRAC Bank-এ একটি Savings Account আছে। অ্যাকাউন্টে গড়ে মাসে প্রায় ৳৫০,০০০ ট্রানজেকশন হয়। তবে আমার বর্তমানে কোনো Salary, Business Income বা FDR নেই। See less",,positive,positive,neutral,neutral,substring_false_positive_in_query,"substring_false_positive_in_query | lex_hits=[ভালো] | flags=[query_or_advice_seeking,lexicon_pos_in_question] | prod=positive xlmr=neutral ext=neutral"
8c27d693b5c9e4e518599bce41793f74745bbfccf1fff06d5250da669f133a27,facebook,mixed,brac_bank,,"Brac Bank এর ইনফর্মেশন আপডেট করা কি ভালো হবে?
আপনারা কি করেছেন/করবেন?",,positive,positive,neutral,neutral,substring_false_positive_in_query,"substring_false_positive_in_query | lex_hits=[ভালো] | flags=[advice_recommendation,lexicon_pos_in_question,short_lexicon_positive] | prod=positive xlmr=neutral ext=neutral"
3ba9e593666c05fd1aab76b91cac4599fb04b0ca8703aa4e034834c1e2beb7a9,facebook,mixed,brac_bank,,"ক্রেডিট কার্ডের জন্য কোন ব্যাংক ভালো হবে?  
বর্তমানে আমার UCB, BRAC, MTB, IBBL অ্যাকাউন্ট আছে। 
MTB থেকে ক্রেডিট কার্ডের জন্য টেক্সট দেয় ফোন করে। 
স্যালারি 50k 
একটা ছোট সাইড বিজনেস আছে। 
শপিং আর ফেইসবুক বুষ্টে ব্যাবহার করতে চাচ্ছিলাম See less",,positive,positive,neutral,neutral,substring_false_positive_in_query,"substring_false_positive_in_query | lex_hits=[ভালো] | flags=[query_or_advice_seeking,advice_recommendation,lexicon_pos_in_question] | prod=positive xlmr=neutral ext=neutral"
6ae7fa5a58ed1fdd4f8fe91f19e36f484aa07f8a1353d428b06abbb311de2ddf,google_play,mixed,brac_bank,5.0,"ভালো কিন্তু ইউজার নেইম প্রত্যেকবার লগ-ইন করার সময় প্রত্যেকবারই টাইপ করতে হয়, পাসওয়ার্ডের ক্ষেত্রেও তাই। এটা কি শুধু আমার App Astha তেই নাকি সবারই তাই করতে হয়। Auto Save বা গুগল মাই একাউন্টে পাসওয়ার্ড ম্যানেজারে সেইভ হয়ে থাকলে ভালো হতো। ধন্যবাদ।",,positive,positive,neutral,neutral,advice_marked_positive,advice_marked_positive | lex_hits=[ভালো] | flags=[advice_recommendation] | prod=positive xlmr=neutral ext=neutral
91b15fc5585004768fb3e6985cb0afb6fdfa8786852a787bb7f523b2d3a6f438,google_play,bn,brac_bank,5.0,"আস্থা অ্যাপে লগইন প্রক্রিয়া অনেক স্লো। এছাড়া, একটি অপশন থেকে অন্য অপশনে যেতে সময় বেশি লাগে। আশা করি, আপনারা অ্যাপটির পারফরম্যান্স উন্নয়নে প্রয়োজনীয় পদক্ষেপ গ্রহণ করবেন।❤",,positive,neutral,neutral,negative,advice_marked_positive,advice_marked_positive | lex_hits=[nan] | flags=[advice_recommendation] | prod=positive xlmr=neutral ext=negative
1ae0c1e08c3bd9d5af391bfd823b8fbc25a12a7e1cff7382cdef8eb29962580c,facebook,bn,brac_bank,,আপনি চাইলে বাংলাদেশ ব্যাংকে অভিযোগ দিতে পারেন যে আমি তো অনেকদিন ইউজ করিনি তারপরও তারা সার্ভিস চার্জ নিচ্ছে।আমার জানামতে এটা বাংলাদেশ ব্যাংক সমর্থন করে না। সবচেয়ে ভালো হবে বাংলাদেশ ব্যাংকে অভিযোগ দেন তারপর দেখা যাক,,positive,positive,negative,positive,advice_marked_positive,"advice_marked_positive | lex_hits=[ভালো] | flags=[advice_recommendation,comparison] | prod=positive xlmr=negative ext=positive"
a99bac747c4799afa26bfd1518e76af7f16ee9e0af484f78007ed8c9ea6358e2,facebook,bn,scb_bangladesh,,তেমন কোন সুবিধা নাই। এরচেয়ে দেশি ভালো কিছু ব্যাংকের ডিজিটাল একাউন্ট আছে খুঁজে দেখতে পারেন সেগুলোতেই ভালো হবে।,,positive,positive,neutral,positive,advice_marked_positive,advice_marked_positive | lex_hits=[ভালো] | flags=[advice_recommendation] | prod=positive xlmr=neutral ext=positive
