record_id,source,star_rating,production_label,star_implied,lexicon_label,xlmr_label,text
7dae6756c46f2852cb87237b5352ed7a427b1e9f56215e9b3a1d066b5c90abce,app_store,4,positive,positive,positive,negative,"Updates everyday
The only con is it keeps updating everyday!! Which is pretty annoying. Other than that it’s quite good."
52589262b38c80d3c1cd9b1ecddb9660c654b34be4bb51a40222c04d0339741f,app_store,4,positive,positive,negative,negative,"Beneficiary Add
I am few time try to add beneficiary for permanent used but same problem is short name always come message no space last character try to one digit number and one to ten characters not working money in or out ok one time send money. 
This is little problem apps user 
Apps developers should get touched this point"
2e16e33e8a1b37fa026d0474d41f2df0cd04a7d544e5abc38c4f1b29cfb1cd4c,app_store,5,positive,positive,neutral,positive,"App
Smart App ever"
e2102819d0d7cf712e14385f0233933e7295f6359067b02c47f6cfeccb76c9df,app_store,5,positive,positive,neutral,neutral,"Remittance Certificate Needed
App থেকে Tax Year এর Remittance Certificate টা Download করা গেলে বেশ একটা unique বিষয় হত কারন Bangladesh এর কোনো Banking App এ Service টা নেই"
2a84e62ab5b694d09f68ce34f5b7f9054231d36eec4230a30fcaf8fa13fc050d,app_store,1,negative,negative,neutral,negative,"Having huge issues on ios!!
Don’t know what happened recently, but it shows in loading in iOS. Surprisingly it shows that Android OS needs to be updated!! How android will be updated in iOS!!"
594f6ef26ab6a4fe7ad0b77b2997f453e77b89a954fc203d3ea9a4e5d611a26a,app_store,1,negative,negative,neutral,negative,"Doesn’t. Work in IPad
The new version doesn’t work properly in Ipad. When the application starts up, it complains saying you need to update your android version. Although, it is running on IPad IOS. Both IOS and Astha is on most current version."
ae09bb58c759afc045c3871d9badca1c4d6b49177afbed1dc9d4cadd2657789a,app_store,1,negative,negative,neutral,negative,"A Disappointing Mobile Banking Experience from SCB
I am extremely disappointed with the SCB mobile banking app for retail users. Compared to almost every other banking app, including those of government-owned banks, it falls far behind in terms of performance, design, and usability.

The app loads very slowly, the interface looks outdated, and the overall user experience feels like it belongs to a much older era. Navigation is not intuitive, and many basic tasks take longer than they should because of the app's poor responsiveness.

For a multinational bank with SCB's reputation, providing such an outdated and inefficient mobile banking experience is simply unacceptable. Customers expect a modern, fast, secure, and user-friendly app that meets today's banking standards. I sincerely hope SC"
d5df30356c166ea0defbf0ebd7a6a80e5f7929ac7853fb58c08e5b94c228b7a5,app_store,2,negative,negative,neutral,negative,"Not working
When try to convert purchase-in emi. As soon the click its stops working"
6e53ba49f9f600165e6fa858b730033e7d9e7dbf6a3c53e3d7118a9621877dfc,app_store,1,negative,negative,neutral,negative,"Poor interface
The app interface is outdated and not user-friendly. It is often slow and buggy, making transactions frustrating. Adding and managing beneficiaries is confusing, and the overall user experience needs significant improvement. The app should be faster, more stable, and easier to navigate. ⭐☆☆☆☆"
0228a41e698cf279c3c1002c64b938013dfe84dd13aba82ab1e524cf397f2fdb,app_store,2,negative,negative,positive,neutral,"Fix it ASAP for better customer experience.
App Performance: I have noticed significant loading times immediately upon opening the app. This appears to be a software performance issue that affects the initial user experience.
  - Privacy and Security: Currently, the app displays my full account balance immediately after login. This is a security concern when using the app in crowded places. I suggest hiding the balance by default and allowing users to view it manually by clicking a ""show balance"" button.
  - Navigation: I have encountered several pages within the app that lack a clear ""back"" button. While there is a sidebar, navigating through multiple options often leads to pages where it is difficult to return to the previous screen.
  - Home Page Interface: To make the app more user-fri"
bf47df5fd64c85b01debbf3ab9a3290dc52824279afcadd9e01ceb9af8167777,app_store,3,neutral,neutral,neutral,negative,"Bug issues
Each and every time why I must register to alert messages?? I register every time but I popped out always. 👎"
71ae9327eecdc377f3e28c089adda4d51a17600e37c78735821fb8d6acf3430d,app_store,1,negative,negative,neutral,negative,"extremely poor features and UI
Poor UI and no useful features, cant easily download 1year worth statement, cant open DPS or apply for FDR. Even local govt bank sonali bank’s interface is better!!! I just want to make some time to quit SCB and move to brac or EBL already!"
cf84934b3ed7e85e7e37d1c8d12184d27dda2768b2b8686d740df647595b464e,app_store,1,negative,negative,neutral,negative,"Credit Card section is horrible and no Bank to MFS transfer facility!
Credit card section is hard to navigate and extremely confusing. Even when you pay the balance statement it doesn’t update to the current balance and leads to more confusion. and also, you can’t send money from card to Bkash or any other MFS."
08d349f22c9e14e9a89f54acd1c48fcd7edfee3e39e5bc1a523f627d86a33194,app_store,1,negative,negative,neutral,negative,"Interface and features
Most outdated interface as a banks app. Also everything is not functional & very limited features. I regret to go with SCB BD"
6b2d30518f7c4b045979882e11b20dd166dc1c927636f39cb0a4a4767ac91e43,app_store,1,negative,negative,neutral,negative,"not user friendly
Please improve this"
75e201b3340f2cd7695c6a0b68574f48f5b243be5eba99caec1792dc7e6b3ead,app_store,2,negative,negative,neutral,negative,"Not user friendly and inbox system is disgusting
All the time i open the app i need to enable inbox… what a joke"
8aa9b6cc8c3fdad63854c48c658528897291e723efe8559e9c3a0fe96621ad53,app_store,1,negative,negative,neutral,negative,"Disgusted
I use 3-4 bank apps. None of them are as lame as this one. Not at all user friendly, very complicated, and unnecesary bugs. Please invest some money into your app. This is obsolete technology. Please upgrade it to the bare minimum as other banks are doing"
b1f64ff71374b727b96dde7f2c21762c2d785d9bae1ec3b4b019f3bab2891935,app_store,1,negative,negative,neutral,positive,"Mobile app
Worst ever app I have seen though they are claiming one of the world best banking. Need to uninstall & install frequently to do any transactions."
1d1891cb9c35e9cef110e2c1111b8e2df126a2fdd1d0c64814badd889ef32a6e,app_store,2,negative,negative,neutral,negative,"Not user friendly
Complexity and features are dump"
3004d404ada814c2e7222560dea52949f8b7f0b6960799951cc1ccfb4638ce38,app_store,1,negative,negative,neutral,negative,"Update Not Downloading
The app cannot be accessed without updating. When I came to update, it is not downloading."
ecf33243b965231a952482b0dcf893f66ac4129c1d1fc1486cc2cb80df0985d4,app_store,3,neutral,neutral,neutral,negative,"Outdated
Not much features and less user friendly. Need significant improvements."
6775aaa60bb7886cfed7ffccdccdc775e161d8ccd3c79d717786169abf41e1a6,google_play,5,positive,positive,positive,negative,"Very good quality app, but the charges are high."
33e30c263a0e92e4bd2fba54302472969a700a26095f3ade0b8c034d500d630b,google_play,3,neutral,neutral,neutral,negative,Please add something like username remember or device biometric based passkey login system. Every time manually typing the Username and Password for login is very frustrating.
4b8ff6eb06017d14b21a36976b7bdd2b3cc9d2d98897ba6c930164b7541ae466,google_play,1,negative,negative,neutral,neutral,3rd class developer make the last update we want see him and crossfire
504b4d6899cdc0addec0034d9f86b94b54413ec50c0c9eba1662c49311312de1,google_play,4,positive,positive,positive,negative,User interface is not so good. Remember login ID need to be add. No ad money option.
992ba274b889256a6c9f100a18a0be1b3d3e9473ac0a815570a40991530b11d2,google_play,1,negative,negative,negative,neutral,It's a slowly app
208e472c30f3b1b2ac70b969bd4f59aa67d480d441896baf5f9ed678f8dd79c9,google_play,5,positive,positive,neutral,neutral,average
c92661e3309e78704b61cdd9fc258577ea51f0b1095a339da7997efe27ab30d8,google_play,3,neutral,neutral,neutral,negative,Quite back dated UI than other banks app.
08f09aced52dd30bc8252823b9884266e64daa019c40c0d0f069b6e740c87a5a,google_play,5,positive,positive,neutral,positive,"I think Brac Bank aestha is so much useful for the consumer of Brac Bank,I want that it should be developed more to get it's usefulness."
e9147990a6191b7e3978af3789f49be196f7d516fea0f4352d9a582e679b310c,google_play,3,neutral,neutral,neutral,positive,Please solve the issue of loading abd bugs.Expect this problem this is the best banking app ever...
2bb87f1c843025d932074b73f1106b76974fd9794abb1a54dcc69d615781f88d,google_play,4,positive,positive,neutral,negative,Bikash pull money option doesn’t function now!
7e50c6b42f4ce2df6ed61e4d39badef1764809fcdf5ea570e6864a1f0558dc31,google_play,1,negative,negative,neutral,negative,its harmful financial institution
47fa14d1ea9a5b38c4a7e16051bcc99d0de5f02c19c246e98386073276144c94,google_play,1,negative,negative,neutral,negative,says this device is rooted. my device is not rooted. fix it.
f52c8eddfbce6adc30867cefb7bd89f2758c37edd9a2556b1654d916409d970c,google_play,2,negative,negative,negative,neutral,Ashtha APPS Many Slow And Old Quality......
81d89273ed98092a5c233e1db1c6e712bd361d7ac0681ada33820cf89eba5f8c,google_play,5,positive,positive,neutral,positive,easy and safe
b89a760eb64f604ba7037b269ef4737e62f2216696223d5d291e4613458af8c1,google_play,1,negative,negative,neutral,negative,very poor service
06b7b6cb4908b180feaf900e2b04c1c72092da875cfae958d52a7500d0ef619f,google_play,1,negative,negative,neutral,positive,"অত্যন্ত হতাশাজনক কাস্টমার সার্ভিস! ২-৩ কর্মদিবসের মধ্যে অ্যাকাউন্ট অ্যাক্টিভ করার প্রতিশ্রুতি দেওয়া হলেও অনেক দিন পেরিয়ে গেছে কিন্তু কোনো সমাধান পাইনি। ডিজিটাল যুগে এসে একটি অ্যাকাউন্ট চালু করতে যদি এত দিন অপেক্ষা করতে হয়, তবে সেটা সত্যিই দুঃখজনক। অ্যাপের ইন্টারফেস ভালো হলেও তাদের এই ধীরগতির সার্ভিস অত্যন্ত বাজে অভিজ্ঞতা দিচ্ছে।"
542c0126c3df5253569e9cb39efd1d29a01a70fc8d3bf0418474bf0941534adc,google_play,1,negative,negative,neutral,negative,"এই ডিজিটাল যুগে এইসব এপ্স চলে না,,, এত স্লো বলার মত না,,, 5G মোবাইলে ও ঠিক মত কাজ করে না"
08d8271a8005212da1636cf03c08f1992ca2ccb11d45e0093957ff4f097d6d33,google_play,5,positive,positive,neutral,positive,very nice service 👌
a3106e4f5ac566a4abf8fd0b647976710802647ccb85d02534bdd09ae8b4fd40,google_play,5,positive,positive,neutral,positive,My some work are so easy.
b183842bfd8f1eea8adae51e1301bd6580950f5a169f368b1447020001294b1d,google_play,5,positive,positive,neutral,positive,Really Very Interesting ❤️🇧🇩
c0620d996186c11dcc4d226b25b2cb6f96e4c787ca58d9a0e069dadc97a77162,google_play,1,negative,negative,neutral,negative,Before the update it was possible to use this app in Huawei phone but after the update that update is not available for Huawei phones and without update it's not possible to open it! So you actually think about other users where it doesn't support this and lots of people are now using Huawei phone so it's hassle to use another phone just to use this app ! Please consider bringing the app for Huawei phones also! Would appreciate if you do thanks!
aebe1645ffb60d72ec6bb7f74c2f1e889ec6d5af8b069d74a1297a3eb53378d7,google_play,2,negative,negative,neutral,negative,This app isn't using comfortable in abroad 😕 😒 🙄
1a693dacd589fdeec6b0a6b77753fb155c353db3bb7abe5facf3db1b740c7246,google_play,1,negative,negative,neutral,positive,Super
b71bc337d10e1aa341fd70958de4c4ddb66c4ef55d29105f38b62326ac891f1a,google_play,4,positive,positive,neutral,neutral,Need to change/update UI/UX.
dc8718852a77bfdae317befffe93410d20d7e4f6f953239e540c2471b6ca69a4,google_play,5,positive,positive,neutral,positive,goo d
